# term	category	severity	language
# Severity: 1=minor concern, 2=material failure, 3=critical/fraud/safety concern.
ayaw gumana	performance	3	tl
basag	defect	3	tl
bilis masira	durability	3	taglish
bloated battery	safety	3	en
broke after	durability	2	en
burning smell	safety	3	en
cheap material	quality	2	en
cheaply made	quality	2	en
class a	counterfeit	2	taglish
counterfeit	counterfeit	3	en
crack	defect	2	en
cracked	defect	2	en
damaged	defect	2	en
dead on arrival	performance	3	en
defect	defect	2	en
defective	defect	3	en
delikado	safety	3	tl
di gumagana	performance	3	tl
disconnecting	performance	2	en
does not work	performance	3	en
drains fast	performance	2	en
electric shock	safety	3	en
exploded	safety	3	en
fake	counterfeit	3	en
flimsy	quality	2	en
gasgas	defect	1	tl
glitch	performance	2	en
glitching	performance	2	en
grounded	safety	3	taglish
hindi gumagana	performance	3	tl
hindi original	counterfeit	3	taglish
imitation	counterfeit	3	en
intermittent	performance	2	en
kulang	defect	2	tl
lag	performance	2	taglish
low quality	quality	2	en
lumobo battery	safety	3	taglish
mabagal	performance	2	tl
madaling masira	durability	3	tl
mahina signal	performance	2	taglish
maiksi battery life	performance	2	taglish
maluwag	defect	1	tl
mabilis malowbat	performance	3	taglish
mabilis masira	durability	3	tl
missing parts	defect	2	en
mukhang peke	counterfeit	3	tl
nasira agad	durability	3	tl
nasira	durability	3	tl
nasusunog	safety	3	tl
no power	performance	3	en
no sound	performance	2	en
not original	counterfeit	3	en
not working	performance	3	en
overheat	safety	3	en
overheating	safety	3	en
palpak	quality	2	tl
peke	counterfeit	3	tl
poor quality	quality	2	en
replica	counterfeit	3	en
sablay	quality	2	tl
scam	counterfeit	3	taglish
scratched	defect	1	en
sira	defect	3	tl
sirain	durability	2	tl
smoke	safety	3	en
spark	safety	3	en
stopped working	performance	3	en
substandard	quality	2	en
sumabog	safety	3	tl
umiinit	safety	2	tl
walang tunog	performance	2	tl
